rownb	customerkey	customer_name	customer_country	customer_city	customer_postalcode	customer_street	plantkey	full_address	latitude	longitude
25	25	Crooks and Sons	Germany	Halle	6116	94402 Longview Place	4	94402 Longview Place 6116 Halle Germany	51.48216629	11.96579552
26	26	Harber Group	Germany	Münster	48161	6 Porter Hill	4	6 Porter Hill 48161 Münster Germany	51.96902	7.605221
27	27	Little-Ankunding	Germany	Frankfurt am Main	60325	5 Banding Pass	4	5 Banding Pass 60325 Frankfurt am Main Germany	50.098347	8.690307
28	28	Hahn, Torp and Welch	Germany	Neuss	41468	873 Aberg Pass	4	873 Aberg Pass 41468 Neuss Germany	51.17936325	6.74318409
29	29	Johnson, Legros and Rosenbaum	Germany	Stuttgart	70567	68 Homewood Court	4	68 Homewood Court 70567 Stuttgart Germany	48.746749	9.156685
30	30	Shields, Harber and Goldner	Germany	Halle	6126	80 Novick Parkway	4	80 Novick Parkway 6126 Halle Germany	51.521677	11.909501
31	31	Legros, Crona and Rippin	Germany	Hamburg Harvestehude	20249	48499 Drewry Hill	4	48499 Drewry Hill 20249 Hamburg Harvestehude Germany	53.57766724	9.98895168
32	32	Carter, Willms and Schneider	Germany	München	81373	6778 Truax Parkway	4	6778 Truax Parkway 81373 München Germany	48.11749649	11.51846504
33	33	Terry, Carroll and Gottlieb	Germany	München	80995	6911 Onsgard Street	4	6911 Onsgard Street 80995 München Germany	48.21487427	11.53372288
34	34	Ortiz, Stamm and Abshire	Belgium	Charleroi	6042	33 Warrior Crossing	4	33 Warrior Crossing 6042 Charleroi Belgium	50.4284235	4.4491348
35	35	Walker-Deckow	Germany	Kiel	24109	9 Meadow Valley Pass	4	9 Meadow Valley Pass 24109 Kiel Germany	48.63624922	-93.82827162
36	36	Fadel, Trantow and Kohler	Germany	Dillenburg	35687	69991 Manley Street	4	69991 Manley Street 35687 Dillenburg Germany	50.72128677	8.30685329
37	37	Ruecker-Leannon	Belgium	Péruwelz	7604	0369 Golf Course Pass	4	0369 Golf Course Pass 7604 Péruwelz Belgium	50.55483627	3.53454208
38	38	Shields, Mitchell and Breitenberg	Germany	Düsseldorf	40489	79 Melvin Crossing	4	79 Melvin Crossing 40489 Düsseldorf Germany	51.25512	6.760632
39	39	Hermiston Group	Germany	Heilbronn	74080	19283 Holmberg Place	4	19283 Holmberg Place 74080 Heilbronn Germany	49.13300323	9.15668488
40	40	Carroll-Feest	Germany	Berlin	14199	993 Graedel Avenue	4	993 Graedel Avenue 14199 Berlin Germany	52.48902401	13.4146613
41	41	Koelpin LLC	Germany	Köln	50674	3836 Bunting Center	4	3836 Bunting Center 50674 Köln Germany	46.91148243	-94.48210783
42	42	Auer, Price and Jerde	Germany	Berlin	14109	8 Pleasure Court	4	8 Pleasure Court 14109 Berlin Germany	52.431211	13.21653
43	43	Rogahn LLC	Germany	Hamburg	20249	539 Little Fleur Place	4	539 Little Fleur Place 20249 Hamburg Germany	35.0311402	-83.25771333
44	44	O'Reilly-Rempel	Germany	Augsburg	86156	666 Hanson Avenue	4	666 Hanson Avenue 86156 Augsburg Germany	48.35537004	10.86211493
45	45	McClure, Emard and Streich	Germany	Chemnitz	9116	5 Florence Alley	4	5 Florence Alley 9116 Chemnitz Germany	50.892428	12.767705
46	46	Boyle-O'Reilly	Germany	Wetzlar	35581	01 Dennis Circle	4	01 Dennis Circle 35581 Wetzlar Germany	50.548866	8.570943
47	47	Connelly-Glover	Germany	Hamburg	22453	2 Lunder Hill	4	2 Lunder Hill 22453 Hamburg Germany	53.595914	9.869496
48	48	Larson, Reichert and Pfannerstill	Germany	Ludwigshafen am Rhein	67067	09 Ryan Park	4	09 Ryan Park 67067 Ludwigshafen am Rhein Germany	49.446598	8.4160375
49	49	Heathcote-Romaguera	Belgium	Bruxelles	1170	8844 Almo Parkway	4	8844 Almo Parkway 1170 Bruxelles Belgium	50.80943298	4.40366602
50	50	Quigley-Hodkiewicz	Belgium	Antwerpen	2170	39 High Crossing Terrace	4	39 High Crossing Terrace 2170 Antwerpen Belgium	43.14736	-76.3495987
51	51	Padberg Inc	Germany	Mülheim an der Ruhr	45473	0 Heath Center	4	0 Heath Center 45473 Mülheim an der Ruhr Germany	51.4318349	6.87630674
52	52	Bergnaum LLC	Germany	Lübeck	23568	192 Petterle Crossing	4	192 Petterle Crossing 23568 Lübeck Germany	53.889264	10.781424
53	53	Bailey Group	Germany	Hamburg Bramfeld	22179	75 Grayhawk Court	4	75 Grayhawk Court 22179 Hamburg Bramfeld Germany	53.630244	10.103413
54	54	Buckridge, Abshire and Koss	Germany	Witzenhausen	37217	193 Morning Park	4	193 Morning Park 37217 Witzenhausen Germany	38.74461235	-85.80129011
55	55	McClure, Blick and Schultz	Germany	Bremen	28239	75 North Lane	4	75 North Lane 28239 Bremen Germany	53.113853	8.798319
56	56	Batz Group	Germany	Köln	51107	0170 Glendale Court	4	0170 Glendale Court 51107 Köln Germany	50.92986679	7.04415607
57	57	Runte-Vandervort	Germany	Magdeburg	39130	938 Harbort Way	4	938 Harbort Way 39130 Magdeburg Germany	38.70768338	-83.03122163
58	58	Emard-Cronin	Germany	Hamburg Bramfeld	22179	97243 Karstens Lane	4	97243 Karstens Lane 22179 Hamburg Bramfeld Germany	53.61378735	10.02289428
59	59	Douglas, Murazik and Zieme	Germany	Halle	6116	0 Walton Avenue	4	0 Walton Avenue 6116 Halle Germany	51.46043786	11.12295278
60	60	Bradtke, Jakubowski and Nicolas	Germany	Hamburg	22453	7 Larry Crossing	4	7 Larry Crossing 22453 Hamburg Germany	53.581632	9.97813
61	61	Walker, Stracke and Bechtelar	Germany	Berlin	12683	652 International Alley	4	652 International Alley 12683 Berlin Germany	52.600865	13.228406
62	62	Rempel, Purdy and Deckow	Germany	Berlin	10823	83 Westridge Point	4	83 Westridge Point 10823 Berlin Germany	52.48997	13.355279
63	63	Littel LLC	Germany	Berlin	13088	55688 Sundown Alley	4	55688 Sundown Alley 13088 Berlin Germany	52.55501938	13.46980095
64	64	Schowalter and Sons	Belgium	Mons	7032	12458 Burrows Park	4	12458 Burrows Park 7032 Mons Belgium	-26.72950521	153.07333355
65	65	Aufderhar Group	Germany	München	81679	01 Cottonwood Alley	4	01 Cottonwood Alley 81679 München Germany	48.141114	11.605323
66	66	Jacobson LLC	Germany	Dortmund	44369	992 Eagan Alley	4	992 Eagan Alley 44369 Dortmund Germany	51.53128433	7.41382313
67	67	Stanton-Nienow	Germany	Bremen	28239	95 Bonner Pass	4	95 Bonner Pass 28239 Bremen Germany	53.07720897	8.9317177
68	68	Denesik-Lesch	Germany	Köln	50935	92 Spohn Avenue	4	92 Spohn Avenue 50935 Köln Germany	50.952055	6.924188
69	69	McClure-Wolf	Germany	Dortmund	44143	4 Morning Alley	4	4 Morning Alley 44143 Dortmund Germany	51.494091	7.548752
70	70	Walker-Oberbrunner	Germany	Berlin	10587	68 Hintze Avenue	4	68 Hintze Avenue 10587 Berlin Germany	52.51068	13.297447
71	71	Smitham-Ernser	Germany	Stuttgart	70567	1394 Golf Course Lane	4	1394 Golf Course Lane 70567 Stuttgart Germany	38.86361133	-99.35873029
72	72	Towne-Weber	Germany	Wiesbaden	65191	0 Hallows Way	4	0 Hallows Way 65191 Wiesbaden Germany	50.08382034	8.28393841
73	73	VonRueden LLC	Germany	Berlin	10409	7286 Forest Hill	4	7286 Forest Hill 10409 Berlin Germany	41.01221726	-80.6114678
74	74	Balistreri, Koelpin and Mayert	Germany	Berlin	12559	7 Corry Alley	4	7 Corry Alley 12559 Berlin Germany	52.391438	13.579359
75	75	Rath and Sons	Germany	Bielefeld	33619	4804 Golden Leaf Lane	4	4804 Golden Leaf Lane 33619 Bielefeld Germany	34.14276536	-83.95296317
76	76	Nicolas and Sons	Germany	Hanau	63456	96667 Onsgard Circle	4	96667 Onsgard Circle 63456 Hanau Germany	50.12176953	8.92975693
77	77	Bashirian, Herman and McDermott	Germany	Hannover	30629	00 Harbort Junction	4	00 Harbort Junction 30629 Hannover Germany	52.37788037	9.70629381
78	78	Mann, Borer and Cormier	Belgium	Bouillon	6834	5 Moulton Lane	4	5 Moulton Lane 6834 Bouillon Belgium	49.8372657	5.1105584
79	79	Dooley, Legros and Fritsch	Germany	Frankfurt am Main	60325	8 Canary Pass	4	8 Canary Pass 60325 Frankfurt am Main Germany	34.39368111	-84.27775326
80	80	Strosin LLC	Germany	Berlin	12169	983 Dennis Hill	4	983 Dennis Hill 12169 Berlin Germany	39.96405922	-77.06045088
81	81	Bruen and Sons	Germany	Stuttgart Stuttgart-Mitte	70180	847 Oakridge Center	4	847 Oakridge Center 70180 Stuttgart Stuttgart-Mitte Germany	48.77456284	9.17989254
82	82	Hartmann and Sons	Germany	Hamburg Winterhude	22303	38427 Elgar Street	4	38427 Elgar Street 22303 Hamburg Winterhude Germany	53.59390248	9.99328545
83	83	Oberbrunner-Predovic	Germany	Essen	45141	76 Clemons Hill	4	76 Clemons Hill 45141 Essen Germany	51.493526	6.934547
84	84	Volkman-Hessel	Germany	Solingen	42659	7922 Warner Road	4	7922 Warner Road 42659 Solingen Germany	51.1805465	7.0752825
85	85	Rosenbaum, Kris and Bailey	Germany	Augsburg	86156	92177 Leroy Pass	4	92177 Leroy Pass 86156 Augsburg Germany	40.0408813	-75.23367039
86	86	Hickle, Wehner and Schuster	Belgium	Bruxelles	1050	2 Welch Drive	4	2 Welch Drive 1050 Bruxelles Belgium	50.8364366	4.3718038
87	87	Friesen and Sons	Germany	Dortmund	44143	8213 Green Junction	4	8213 Green Junction 44143 Dortmund Germany	40.4577433	-76.2889833
88	88	Murray, Dach and Koch	Germany	Hamburg	22041	86371 Tomscot Plaza	4	86371 Tomscot Plaza 22041 Hamburg Germany	53.57559586	10.08070755
89	89	Hansen, Zboncak and McCullough	Germany	Wuppertal	42349	7 Sage Trail	4	7 Sage Trail 42349 Wuppertal Germany	51.207418	7.142747
90	90	Borer, Gibson and Reynolds	Germany	Mülheim an der Ruhr	45473	41 David Lane	4	41 David Lane 45473 Mülheim an der Ruhr Germany	51.445812	6.88884
91	91	Cremin-Breitenberg	Germany	Berlin	12103	00483 Heffernan Park	4	00483 Heffernan Park 12103 Berlin Germany	52.46269153	13.38136668
92	92	Mueller Inc	Germany	Wiesbaden	65191	203 Birchwood Trail	4	203 Birchwood Trail 65191 Wiesbaden Germany	39.52713224	-79.41944521
93	93	Cartwright Inc	Germany	Berlin	13509	68856 Bay Circle	4	68856 Bay Circle 13509 Berlin Germany	41.48365784	-99.76553345
94	94	Wilkinson Inc	Germany	Dresden	1189	6 Starling Drive	4	6 Starling Drive 1189 Dresden Germany	51.025031	13.760543
95	95	Schuppe Inc	Germany	Hamburg	22559	001 Judy Court	4	001 Judy Court 22559 Hamburg Germany	53.586888	9.757696
96	96	Ondricka-Carroll	Germany	Hannover	30453	25309 Burrows Way	4	25309 Burrows Way 30453 Hannover Germany	52.3497467	9.68751812
97	97	Wisozk Group	Belgium	Bruxelles	1170	09 Village Green Plaza	4	09 Village Green Plaza 1170 Bruxelles Belgium	43.13839425	-76.31062715
98	98	McKenzie and Sons	Germany	Heilbronn	74080	37 Nancy Pass	4	37 Nancy Pass 74080 Heilbronn Germany	40.15142323	-75.01996863
99	99	Baumbach, Nolan and Barrows	Belgium	Ninove	9404	88222 Arapahoe Center	4	88222 Arapahoe Center 9404 Ninove Belgium	50.84156418	3.95568705
100	100	Kunze, Emmerich and Sporer	Belgium	Gent	9052	251 Atwood Road	4	251 Atwood Road 9052 Gent Belgium	40.07856765	-87.6185763
101	101	Jakubowski-Greenfelder	Germany	Würzburg	97078	3 Rieder Lane	4	3 Rieder Lane 97078 Würzburg Germany	49.822429	9.961161
102	102	Monahan LLC	Germany	Wiesbaden	65191	7 Eagan Avenue	4	7 Eagan Avenue 65191 Wiesbaden Germany	50.0722815	8.2510402
103	103	Stracke-Dare	Germany	Hamburg Sankt Pauli	20459	42698 Del Mar Point	4	42698 Del Mar Point 20459 Hamburg Sankt Pauli Germany	53.54606282	9.96918885
104	104	Mohr and Sons	Germany	Leipzig	4288	5858 Bobwhite Crossing	4	5858 Bobwhite Crossing 4288 Leipzig Germany	34.31196698	-84.15881837
105	105	Heathcote Inc	Germany	Düsseldorf	40215	03073 Mayer Hill	4	03073 Mayer Hill 40215 Düsseldorf Germany	51.1868795	6.8126955
106	106	Pacocha LLC	Germany	Düsseldorf	40225	130 Continental Point	4	130 Continental Point 40225 Düsseldorf Germany	51.214105	6.774807
107	107	Brekke and Sons	Germany	Hamburg	22769	5 Meadow Ridge Trail	4	5 Meadow Ridge Trail 22769 Hamburg Germany	41.148111	-74.599555
108	108	Hickle LLC	Belgium	Mons	7032	6548 Prairieview Street	4	6548 Prairieview Street 7032 Mons Belgium	43.16870526	-88.13442961
109	109	Kemmer-Smith	Germany	Dresden	1462	37258 Iowa Trail	4	37258 Iowa Trail 1462 Dresden Germany	41.67975701	-91.49312477
110	110	Reichel Inc	Germany	Hamburg	22559	2 Logan Lane	4	2 Logan Lane 22559 Hamburg Germany	53.575866	9.79525
111	111	Jaskolski, Wiegand and Dickens	Germany	Düsseldorf	40225	842 Fisk Junction	4	842 Fisk Junction 40225 Düsseldorf Germany	40.31831993	-78.93414417
112	112	Davis Inc	Germany	Frankfurt am Main	60325	013 Hovde Parkway	4	013 Hovde Parkway 60325 Frankfurt am Main Germany	50.112456	8.659677
113	113	Hayes Group	Germany	Stuttgart	70190	30131 Briar Crest Place	4	30131 Briar Crest Place 70190 Stuttgart Germany	48.79003525	9.20581722
114	114	Streich Group	Germany	Freiburg im Breisgau	79114	70 Myrtle Crossing	4	70 Myrtle Crossing 79114 Freiburg im Breisgau Germany	47.993813	7.813197
115	115	McCullough-Kihn	Germany	Berlin	10179	656 Longview Court	4	656 Longview Court 10179 Berlin Germany	52.601408	13.228715
116	116	Vandervort Inc	Germany	Remscheid	42897	390 Petterle Alley	4	390 Petterle Alley 42897 Remscheid Germany	51.2431	7.168712
117	117	Lubowitz Group	Germany	Wiesbaden	65191	0962 Autumn Leaf Point	4	0962 Autumn Leaf Point 65191 Wiesbaden Germany	50.08382034	8.28393841
118	118	Sanford Inc	Germany	Nürnberg	90411	8378 Cherokee Point	4	8378 Cherokee Point 90411 Nürnberg Germany	40.0636697	-75.21627494
119	119	Brekke-Fritsch	Germany	Dortmund	44143	7 Autumn Leaf Crossing	4	7 Autumn Leaf Crossing 44143 Dortmund Germany	34.50395535	-83.33718461
120	120	Hilpert LLC	Belgium	Momignies	6594	13462 Carey Road	4	13462 Carey Road 6594 Momignies Belgium	50.01554108	4.156569
121	121	Gleason Group	Germany	Hannover	30453	3060 Elmside Alley	4	3060 Elmside Alley 30453 Hannover Germany	34.151862	-84.101898
122	122	Kihn, Larkin and Fadel	Germany	München	80337	46 Amoth Alley	4	46 Amoth Alley 80337 München Germany	48.0983995	11.5413376
123	123	Wuckert-Cormier	Germany	Halle	6126	313 Declaration Avenue	4	313 Declaration Avenue 6126 Halle Germany	44.83199601	-93.56880029
124	124	Legros Group	Belgium	Ninove	9404	4560 Cody Way	4	4560 Cody Way 9404 Ninove Belgium	42.96217606	-75.69697968
125	125	Ward Group	Germany	Hamburg	20359	712 Sullivan Way	4	712 Sullivan Way 20359 Hamburg Germany	38.5656537	-90.00186211
126	126	Fahey and Sons	Germany	Wuppertal	42285	65884 Vermont Court	4	65884 Vermont Court 42285 Wuppertal Germany	51.2575798	7.1683383
127	127	Wunsch LLC	Belgium	Gent	9052	05461 Riverside Circle	4	05461 Riverside Circle 9052 Gent Belgium	33.0819971	-96.73651389
128	128	Wiegand and Sons	Germany	München	80686	6 Bultman Parkway	4	6 Bultman Parkway 80686 München Germany	48.101611	11.523303
129	129	Reichel-Beatty	Germany	Berlin	10587	30281 Eggendart Park	4	30281 Eggendart Park 10587 Berlin Germany	52.48611352	13.59142763
130	130	Turcotte, Bruen and Jenkins	Germany	Dortmund	44369	05 Raven Center	4	05 Raven Center 44369 Dortmund Germany	51.5305808	7.4157925
131	131	Christiansen, Kuphal and Hermiston	Germany	Freiburg im Breisgau	79106	4 Lukken Circle	4	4 Lukken Circle 79106 Freiburg im Breisgau Germany	47.993585	7.842026
132	132	Fadel, Klein and Rowe	Germany	Münster	48161	2 Nevada Alley	4	2 Nevada Alley 48161 Münster Germany	51.950141	7.538823
133	133	Schmitt Inc	Germany	Braunschweig	38106	615 Alpine Street	4	615 Alpine Street 38106 Braunschweig Germany	34.97807609	-83.33227227
134	134	Erdman, Waters and Towne	Germany	Dortmund	44369	06 Iowa Park	4	06 Iowa Park 44369 Dortmund Germany	51.551972	7.365227
135	135	Runolfsdottir, Erdman and Wintheiser	Germany	Hamburg Bramfeld	22179	7282 6th Circle	4	7282 6th Circle 22179 Hamburg Bramfeld Germany	53.609333	10.087815
136	136	Gutmann, Schaefer and Morissette	Germany	Braunschweig	38126	85 Merrick Place	4	85 Merrick Place 38126 Braunschweig Germany	52.232532	10.532537
137	137	Parisian LLC	Germany	Chemnitz	9116	005 Vermont Court	4	005 Vermont Court 9116 Chemnitz Germany	51.568702	-0.0765676
138	138	Leuschke-Mills	Belgium	Péruwelz	7604	9 Lotheville Terrace	4	9 Lotheville Terrace 7604 Péruwelz Belgium	50.5291436	3.5162236
139	139	Bernhard-Bartell	Germany	Augsburg	86156	33 Morning Parkway	4	33 Morning Parkway 86156 Augsburg Germany	48.375779	10.892131
140	140	Casper, McCullough and Price	Germany	Hamburg Sankt Pauli	20459	27060 Barnett Place	4	27060 Barnett Place 20459 Hamburg Sankt Pauli Germany	53.54644452	9.96453884
141	141	Bayer-Nienow	Germany	Remscheid	42897	81491 Hanover Road	4	81491 Hanover Road 42897 Remscheid Germany	51.18015289	7.28494072
142	142	Boehm, Parker and Glover	Germany	Hamburg	22559	54 Bobwhite Lane	4	54 Bobwhite Lane 22559 Hamburg Germany	53.574446	9.812448
143	143	Macejkovic-Wilkinson	Belgium	Namur	5100	0476 Mayer Trail	4	0476 Mayer Trail 5100 Namur Belgium	49.7740878	4.7140228
144	144	Smith, King and Dach	Germany	Dortmund	44269	9336 Melrose Hill	4	9336 Melrose Hill 44269 Dortmund Germany	40.04666829	-74.99188467
145	145	Ebert, Stroman and Cummerata	Germany	Berlin	12307	4861 Pawling Court	4	4861 Pawling Court 12307 Berlin Germany	52.38780212	13.39301777
146	146	Ferry and Sons	Germany	Augsburg	86156	101 Evergreen Lane	4	101 Evergreen Lane 86156 Augsburg Germany	48.393926	10.846486
147	147	Quitzon, Sanford and Nienow	Belgium	Bouillon	6834	609 Forest Court	4	609 Forest Court 6834 Bouillon Belgium	43.02561944	-88.13278838
148	148	Brekke Group	Germany	Hamburg	22769	18708 Porter Crossing	4	18708 Porter Crossing 22769 Hamburg Germany	53.59622943	9.96880399
149	149	McLaughlin-Stiedemann	Germany	München	80686	54973 Daystar Junction	4	54973 Daystar Junction 80686 München Germany	48.13212585	11.51738644
150	150	Runte Group	Germany	Würzburg	97078	94538 Summit Terrace	4	94538 Summit Terrace 97078 Würzburg Germany	49.8207016	9.96065044
151	151	Connelly, Bins and Huel	Belgium	Bouillon	6834	232 Stephen Place	4	232 Stephen Place 6834 Bouillon Belgium	43.13397342	-76.10935209
152	152	Buckridge-Murazik	Germany	Berlin	10409	816 Jana Trail	4	816 Jana Trail 10409 Berlin Germany	52.42157	13.295926
153	153	Hodkiewicz LLC	Germany	Wuppertal	42349	3885 Eagan Trail	4	3885 Eagan Trail 42349 Wuppertal Germany	44.816528	-93.212847
154	154	Lynch-Goyette	Germany	Dortmund	44369	3166 Bashford Terrace	4	3166 Bashford Terrace 44369 Dortmund Germany	38.27478642	-85.69238284
155	155	Wolff, Friesen and Daugherty	Germany	Münster	48161	48 Evergreen Avenue	4	48 Evergreen Avenue 48161 Münster Germany	42.10160891	-76.05708791
156	156	Pacocha and Sons	Germany	München	80337	169 Hansons Court	4	169 Hansons Court 80337 München Germany	48.123521	11.547625
157	157	Koepp LLC	Germany	München	80686	459 Nobel Terrace	4	459 Nobel Terrace 80686 München Germany	48.23023403	11.4816638
158	158	Kutch LLC	Germany	Gelsenkirchen	45886	4 Jay Street	4	4 Jay Street 45886 Gelsenkirchen Germany	51.529036	7.107332
159	159	Hamill, Paucek and Emmerich	Germany	Berlin	12045	9 Havey Alley	4	9 Havey Alley 12045 Berlin Germany	52.55509865	13.33971135
160	160	Kulas, Wisozk and Wiegand	Germany	Freiburg im Breisgau	79106	7898 Dovetail Point	4	7898 Dovetail Point 79106 Freiburg im Breisgau Germany	34.5295032	-83.87802479
161	161	Kessler, Dickinson and Rohan	Germany	Braunschweig	38126	6127 Westport Junction	4	6127 Westport Junction 38126 Braunschweig Germany	52.23303223	10.55326557
162	162	Boehm Group	Belgium	Tournai	7504	833 Dakota Court	4	833 Dakota Court 7504 Tournai Belgium	43.30012558	-88.36636607
163	163	Lueilwitz, Hoppe and Bogan	Germany	Offenbach	63073	10556 Elka Plaza	4	10556 Elka Plaza 63073 Offenbach Germany	50.08890152	8.80680752
164	164	Boyer Inc	Germany	Berlin	10587	46 Eggendart Pass	4	46 Eggendart Pass 10587 Berlin Germany	53.887492	10.539506
165	165	Hyatt LLC	Germany	Braunschweig	38126	3703 Kinsman Crossing	4	3703 Kinsman Crossing 38126 Braunschweig Germany	39.8362665	-84.2008115
166	166	Becker, Schmeler and Johns	Germany	Hamburg	20359	7 Ryan Avenue	4	7 Ryan Avenue 20359 Hamburg Germany	53.550164	9.967171
167	167	Moore LLC	Germany	Düsseldorf	40591	3266 Delladonna Parkway	4	3266 Delladonna Parkway 40591 Düsseldorf Germany	51.19216919	6.82133818
168	168	Kozey Group	Germany	Köln	50935	02330 Schurz Way	4	02330 Schurz Way 50935 Köln Germany	50.92397835	6.9001151
169	169	Rohan, Heathcote and Harber	Germany	Köln	51149	680 Glendale Park	4	680 Glendale Park 51149 Köln Germany	50.49146306	6.43705487
170	170	Nolan, Carter and Upton	Germany	Dortmund	44269	6216 Prairieview Way	4	6216 Prairieview Way 44269 Dortmund Germany	39.53573801	-84.14338521
171	171	Howell-Kautzer	Germany	Nürnberg	90411	59 Hauk Street	4	59 Hauk Street 90411 Nürnberg Germany	49.483267	11.108558
172	172	Parker-Renner	Germany	Witzenhausen	37217	9760 Talisman Park	4	9760 Talisman Park 37217 Witzenhausen Germany	51.35485478	9.82105293
173	173	Daugherty, Schuppe and Boyer	Germany	Berlin	10823	30478 Rusk Terrace	4	30478 Rusk Terrace 10823 Berlin Germany	52.48617554	13.35069656
174	174	Strosin, Boyle and Smitham	Germany	Bremerhaven	27576	04 Chinook Place	4	04 Chinook Place 27576 Bremerhaven Germany	53.55705	8.582202
175	175	Crooks, Satterfield and Anderson	Germany	Frankfurt am Main	60549	18 Nancy Park	4	18 Nancy Park 60549 Frankfurt am Main Germany	50.041071	8.463891
176	176	Kuvalis, Hauck and Ortiz	Germany	Hannover	30453	7 Kedzie Plaza	4	7 Kedzie Plaza 30453 Hannover Germany	52.362041	9.692112
177	177	Berge-Brown	Germany	München	81373	486 Center Place	4	486 Center Place 81373 München Germany	40.85190234	-73.97813086
178	178	Weber-Jacobi	Germany	Würzburg	97078	499 Oak Valley Junction	4	499 Oak Valley Junction 97078 Würzburg Germany	34.56804546	-83.28593923
179	179	DuBuque and Sons	Germany	Dortmund	44143	4 Hoffman Court	4	4 Hoffman Court 44143 Dortmund Germany	51.530078	7.552842
180	180	Roberts LLC	Germany	Münster	48161	15432 Corry Circle	4	15432 Corry Circle 48161 Münster Germany	51.96206284	7.58657932
181	181	Rowe-Treutel	Germany	Hamburg	20359	69 5th Lane	4	69 5th Lane 20359 Hamburg Germany	53.554935	9.955125
182	182	Braun LLC	Germany	Berlin	10823	5336 Alpine Park	4	5336 Alpine Park 10823 Berlin Germany	39.84417481	-76.64017928
183	183	Goldner, Murray and McGlynn	Germany	Dortmund	44269	480 6th Parkway	4	480 6th Parkway 44269 Dortmund Germany	51.49347	7.532589
184	184	Wyman, Connelly and Bradtke	Belgium	Antwerpen	2170	11102 La Follette Hill	4	11102 La Follette Hill 2170 Antwerpen Belgium	43.25083096	-88.54931405
